"","name","description"
"83","with_homolog_btau","Orthologous Cow Genes"
"84","with_homolog_cfam","Orthologous Dog Genes"
"85","with_homolog_ttru","Orthologous Dolphin Genes"
"86","with_homolog_apla","Orthologous Duck Genes"
"87","with_homolog_dmel","Orthologous Drosophila Genes"
"88","with_homolog_lafr","Orthologous Elephant Genes"
"89","with_homolog_mfur","Orthologous Ferret Genes"
"90","with_homolog_falb","Orthologous Flycatcher Genes"
"91","with_homolog_trub","Orthologous Fugu Genes"
"92","with_homolog_nleu","Orthologous Gibbon Genes"
"93","with_homolog_ggor","Orthologous Gorilla Genes"
"94","with_homolog_cpor","Orthologous Guinea Pig Genes"
"95","with_homolog_eeur","Orthologous Hedgehog Genes"
"96","with_homolog_ecab","Orthologous Horse Genes"
"97","with_homolog_hsap","Orthologous Human Genes"
"98","with_homolog_dord","Orthologous Kangaroo Rat Genes"
"99","with_homolog_pmar","Orthologous Lamprey Genes"
"100","with_homolog_etel","Orthologous Lesser hedgehog tenrec Genes"
"101","with_homolog_mmul","Orthologous Macaque Genes"
"102","with_homolog_cjac","Orthologous Marmoset Genes"
"103","with_homolog_olat","Orthologous Medaka Genes"
"104","with_homolog_pvam","Orthologous Megabat Genes"
"105","with_homolog_mluc","Orthologous Microbat Genes"
"106","with_homolog_mmus","Orthologous Mouse Genes"
"107","with_homolog_mmur","Orthologous Mouse Lemur Genes"
"108","with_homolog_onil","Orthologous Nile tilapia Genes"
"109","with_homolog_panu","Orthologous Olive baboon Genes"
"110","with_homolog_mdom","Orthologous Opossum Genes"
"111","with_homolog_pabe","Orthologous Orangutan Genes"
"112","with_homolog_amel","Orthologous Panda Genes"
"113","with_homolog_sscr","Orthologous Pig Genes"
"114","with_homolog_opri","Orthologous Pika Genes"
"115","with_homolog_xmac","Orthologous Platyfish Genes"
"116","with_homolog_oana","Orthologous Platypus Genes"
"117","with_homolog_ocun","Orthologous Rabbit Genes"
"118","with_homolog_rnor","Orthologous Rat Genes"
"119","with_homolog_pcap","Orthologous Rock Hyrax Genes"
"120","with_homolog_oari","Orthologous Sheep Genes"
"121","with_homolog_chof","Orthologous Sloth Genes"
"122","with_homolog_locu","Orthologous Spotted gar Genes"
"123","with_homolog_itri","Orthologous Squirrel Genes"
"124","with_homolog_gacu","Orthologous Stickleback Genes"
"125","with_homolog_tsyr","Orthologous Tarsier Genes"
"126","with_homolog_shar","Orthologous Tasmanian Devil Genes"
"127","with_homolog_tnig","Orthologous Tetraodon Genes"
"128","with_homolog_tbel","Orthologous Tree Shrew Genes"
"129","with_homolog_mgal","Orthologous Turkey Genes"
"130","with_homolog_csab","Orthologous Vervet-AGM Genes"
"131","with_homolog_meug","Orthologous Wallaby Genes"
"132","with_homolog_xtro","Orthologous Xenopus Genes"
"133","with_homolog_tgut","Orthologous Zebra Finch Genes"
"134","with_homolog_drer","Orthologous Zebrafish Genes"
"135","with_hmmpanther","with Protein feature hmmpanther ID(s)"
"136","with_gene3d","with Protein feature gene3d ID(s)"
"137","with_prosite","with Protein feature scanprosite ID(s)"
"138","with_profile","with Protein feature pfscan ID(s)"
"139","with_tmhmm","with Protein feature tmhmm ID(s)"
"140","with_tigrfam","with Protein feature tigrfam ID(s)"
"141","with_superfamily","with Protein feature superfamily ID(s)"
"142","with_smart","with Protein feature smart ID(s)"
"143","with_signalp","with Protein feature signalp ID(s)"
"144","with_low_complexity","with Protein feature seg ID(s)"
"145","with_pirsf","with Protein feature pirsf ID(s)"
"146","with_coil","with Protein feature ncoils ID(s)"
"147","with_interpro","with InterPro ID(s)"
"148","with_protein_feature_pfam","with PFAM ID(s)"
"149","with_protein_feature_prints","with PRINTS ID(s)"
"150","tigrfam","TIGRfam ID(s) [e.g. TIGR00172]"
"151","gene3d","Gene3D ID(s) [e.g. G3DSA:2.130.10.10]"
"152","superfamily","Superfamily ID(s) [e.g. SSF47095]"
"153","smart","SMART ID(s) [e.g. SM00398]"
"154","pirsf","PIRSF ID(s) [e.g. PIRSF037653]"
"155","family","Ensembl Protein Family ID(s) [e.g. ENSFM00250000000002]"
"156","pfam","PFAM ID(s) [e.g. PF00046]"
"157","hmmpanther","HMMPanther ID(s) [e.g. PTHR12369]"
"158","prints","PRINTS ID(s) [e.g. PR00194]"
"159","profile","PROFILE ID(s) [e.g. PS50313]"
"160","prosite","PROSITE ID(s) [e.g. PS00028]"
"161","interpro","Interpro ID(s) [e.g. IPR007087]"
"162","with_transmembrane_domain","Transmembrane domains"
"163","with_signal_domain","Signal domains"
"164","germ_line_variation_source","limit to genes with germline variation data sources"
"165","with_validated_snp","Associated with validated SNPs"
"166","so_parent_name","Parent term name"
