Gene,WT_a,WT_b,null_a,null_b,R61K_a,R61K_b,R61H_a,R61H_b,F71Y_a,F71Y_b,Start,End,Strand,Reference,Locus,Product,Note
yabD,710,1125,599,1112,548,1099,522,1243,980,1213,47706,48473,+,chr,BSU00390,metal-dependent DNase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 10747959, 16014871; Product type e: enzyme"
yabE,8090,12299,7119,11381,6535,13166,6422,14278,11955,12581,48629,49942,+,chr,BSU00400,cell wall shaping enzyme,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15774001, 19047346; Product type pe: enzyme"
rnmV,958,1228,605,914,725,1255,667,1113,1011,1148,50087,50647,+,chr,BSU00410,ribonuclease M5,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11233981, 11976317, 12794188, 16077031; Product type e: enzyme"
ksgA,1978,2611,1534,1952,1662,2379,1525,2563,2362,2481,50640,51518,+,chr,BSU00420,dimethyladenosine transferase,catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rRNA; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin
yabG,63,64,54,55,76,86,42,61,56,76,51680,52552,+,chr,BSU00430,sporulation-specific protease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10714992, 11040425, 16751597, 19060142; Product type cp: cell process"
veg,3894,4029,3580,3192,3356,4251,3703,4564,3955,3863,52763,53023,+,chr,BSU00440,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 12761295
sspF,33,14,19,6,27,10,20,8,8,8,53183,53368,+,chr,BSU00450,small acid-soluble spore protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11092849, 7959056, 8982008; Product type cp: cell process"
ipk,2634,2855,2026,2513,1913,2814,1890,2669,2566,2726,53516,54385,+,chr,BSU00460,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,An essential enzyme in the nonmevalonate pathway of isopentenyl diphosphate and dimethylallyl diphosphate biosynthesis
purR,8081,12326,5659,8926,5377,10741,4904,10331,10121,11120,54441,55298,+,chr,BSU00470,pur operon repressor,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11591660, 12837783, 12837784, 15629952, 16163456; Product type r: regulator"
yabJ,3013,4442,2251,3354,2242,4174,1950,4509,4500,4365,55295,55672,+,chr,BSU00480,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12515541, 14729707, 10557275, 10919400, 10368157; Product type pe:  enzyme"
spoVG,8052,6134,5886,5997,4236,6067,4167,7188,6325,5058,55866,56159,+,chr,BSU00490,regulatory protein SpoVG,"stage V sporulation protein G; essential for spore formation and a negative regulator of asymmetric septation in Bacillus; involved in methicillin-resistance, biofilm formation and capsular polysaccharide synthesis in Staphylococcus"
glmU,10141,16126,6636,10983,6878,14609,6373,13875,12286,15535,56352,57722,+,chr,BSU00500,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase,forms a homotrimer; catalyzes the acetylation of glucosamine-1-phosphate and uridylation of N-acetylglucosamine-1-phosphate to produce UDP-GlcNAc; function in cell wall synthesis
prs,9441,11138,6120,7578,6262,10113,6052,9764,8900,10461,57745,58698,+,chr,BSU00510,ribose-phosphate pyrophosphokinase,catalyzes the formation of 5-phospho-alpha-D-ribose 1-phosphate from D-ribose 5-phosphate and ATP
ctc,6222,5975,4939,3989,4346,5242,4667,5771,5481,6264,58783,59397,+,chr,BSU00520,50S ribosomal protein L25,"the Ctc family of proteins consists of two types, one that contains the N-terminal ribosomal protein L25 domain only which in Escherichia coli binds the 5S rRNA while a subset of proteins contain a C-terminal extension that is involved in the stress response"
pth,1306,2109,1166,1631,1029,1778,1032,2061,1678,2043,59504,60070,+,chr,BSU00530,peptidyl-tRNA hydrolase,Enables the recycling of peptidyl-tRNAs produced at termination of translation
yabK,474,888,417,819,397,935,392,952,685,916,60130,60360,+,chr,BSU00540,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
mfd,6842,8705,5183,6458,5143,8140,4863,8382,6947,8349,60430,63963,+,chr,BSU00550,transcription-repair coupling factor,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11065368, 16950921, 8594198, 9535092; Product type f: factor"
spoVT,1016,1012,790,723,766,915,723,1022,845,1154,64099,64635,+,chr,BSU00560,transcriptional regulator,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15063493, 15939023, 16159768, 18996130, 8755877; Product type r: regulator"
yabM,1159,1292,765,855,1028,1320,920,1170,1139,1508,64817,66415,+,chr,BSU00570,exporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
yabN,2092,3148,1395,2157,1504,2919,1439,2902,2536,3284,66405,67874,+,chr,BSU00580,fusion methylase and nucleotide pyrophosphohydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 11178267; Product type pe :  enzyme"
yabO,422,1061,309,775,337,930,357,899,725,1003,67877,68137,+,chr,BSU00590,ribosomal RNA binding protein; heat shock protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10675343, 10675344; Product type pf: factor"
yabP,453,887,298,624,346,758,274,710,670,839,68216,68518,+,chr,BSU00600,spore protein involved in the shaping of the spore coat,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11283287, 15231775, 10869437; Product type f: factor"
yabQ,2230,3883,1574,2932,1466,3375,1423,3502,3242,3636,68515,69150,+,chr,BSU00610,membrane protein of the forespore,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11283287, 15849754, 16850406, 10869437; Product type f: factor"
divIC,2823,7008,2021,5477,2000,6299,1885,6188,5380,6614,69168,69545,+,chr,BSU00620,cell-division initiation protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11283287, 11994149, 12682299, 16936019; Product type f: factor"
yabR,6113,12602,4584,8658,4240,11127,3954,12253,11660,11752,69626,70012,+,chr,BSU00630,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15066026, 16014871, 9862121; Product type pe:  enzyme"
spoIIE,704,853,364,415,719,734,469,581,596,808,70538,73021,+,chr,BSU00640,serine phosphatase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10747015, 12180929, 15126482, 15866939, 15978076; Product type e: enzyme"
yabS,388,566,300,380,379,426,293,430,418,455,73106,73843,+,chr,BSU00650,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yabT,150,142,117,86,176,131,116,133,122,138,73809,74825,+,chr,BSU00660,serine/threonine-protein kinase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
tilS,6654,9963,5599,7733,5588,8982,5405,9147,7978,10310,74929,76347,+,chr,BSU00670,tRNAile lysidine synthetase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 12682299, 14527414, 16039592, 17005971; Product type e: enzyme"
hprT,4905,10147,3868,8078,3952,9115,3726,8245,7457,9930,76344,76886,+,chr,BSU00680,hypoxanthine-guanine phosphoribosyltransferase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 3110131, 6408059; Product type e: enzyme"
ftsH,47928,49463,36631,36259,40872,44158,38279,44783,42453,46711,76984,78897,+,chr,BSU00690,cell-division protein and general stress protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10851010, 10913836, 12533473, 9076729, 9084181, 9287010, 9352926; Product type e: enzyme"
coaX,1641,1708,1131,1417,1265,1910,1174,1853,1655,2177,79092,79868,+,chr,BSU00700,pantothenate kinase,type III; catalyzes the formation of (R)-4'-phosphopantothenate from (R)-pantothenate in coenzyme A biosynthesis; type III pantothenate kinases are not subject to feedback inhibition from coenzyme A and have a high Km for ATP
hslO,2204,2672,1738,1987,1905,2523,1770,2877,2414,2931,79880,80755,+,chr,BSU00710,heat shock protein 33,"becomes active under oxidative stress; four conserved cysteines bind a zinc atom when they are in the reduced state and the enzyme is inactive; oxidative stress results in oxidized cysteines, release of zinc, and binding of Hsp33 to aggregation-prone proteins; forms dimers and higher order oligomers"
yacD,891,1967,697,1471,740,1951,616,2073,1620,2070,80802,81695,+,chr,BSU00720,protein secretion PrsA,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15187182, 15856219; Product type pf: factor"
cysK,4912,5664,6157,6681,4789,8123,6718,8169,6495,6538,81771,82697,+,chr,BSU00730,cysteine synthase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11390694, 16267287, 16513748; Product type e: enzyme"
pabB,1504,2064,1151,1707,1051,2010,1067,2182,1873,2490,82864,84276,+,chr,BSU00740,4-amino-4-deoxychorismate synthase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 16605270, 17114263, 2123867, 9084182; Product type e: enzyme"
pabA,1357,1596,990,1310,1035,1772,913,1689,1383,1788,84290,84874,+,chr,BSU00750,para-aminobenzoate/anthranilate synthase glutamine amidotransferase component II,amphibolic enzyme subunit from Bacillus subtilis performs both in anthranilate and para-aminobenzoate synthesis
pabC,1651,2188,1171,1665,1200,2048,1085,2077,1804,2236,84874,85755,+,chr,BSU00760,4-amino-4-deoxychorismate lyase,catalyzes the formation of 4-aminobenzoate and pyruvate from 4-amino-4-deoxychorismate
sul,2163,2032,1665,1583,1568,1804,1609,1961,1708,1992,85737,86594,+,chr,BSU00770,dihydropteroate synthase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 11007651, 2123867; Product type e: enzyme"
folB,760,1055,599,924,544,975,529,1058,899,1190,86587,86949,+,chr,BSU00780,dihydroneopterin aldolase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 16188473, 17176045, 17388809; Product type e : enzyme"
folK,2414,2485,1798,2010,1846,2398,1711,2553,1926,2669,86946,87449,+,chr,BSU00790,"7, 8-dihydro-6-hydroxymethylpterin-pyrophosphokinase",Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 17029412; Product type e: enzyme
yazB,1327,2063,925,1546,903,1890,900,1854,1450,2125,87401,87610,+,chr,BSU00800,transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
dusB,7244,9998,5460,7793,5512,9107,5075,9886,8502,9899,87634,88635,+,chr,BSU00810,tRNA-dihydrouridine synthase B,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 11983710, 15698474; Product type e: enzyme"
lysS,10924,14298,7980,10795,7996,12789,7778,13545,12144,13708,88727,90226,+,chr,BSU00820,lysyl-tRNA synthetase,"class II; LysRS2; catalyzes a two-step reaction, first charging a lysine molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA; in Methanosarcina barkeri, LysRS2 charges both tRNA molecules for lysine that exist in this organism and in addition can charge the tRNAPyl with lysine in the presence of LysRS1"
ctsR,549,1535,464,1372,451,1689,473,1583,1167,1761,101449,101913,+,chr,BSU00830,transcriptional regulator,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11069659, 12618461, 16163393, 9852015; Product type r: regulator"
mcsA,940,1859,825,1545,944,1867,847,1834,1549,2213,101927,102484,+,chr,BSU00840,activator of protein kinase McsB,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16163393; Product type f: factor
mcsB,2410,3867,2070,3336,2076,3918,2058,3698,3057,4174,102484,103575,+,chr,BSU00850,ATP:guanido phosphotransferase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 16163393, 17380125; Product type e: enzyme"
clpC,7423,10301,6841,9379,6933,11014,6693,10710,8812,11415,103572,106004,+,chr,BSU00860,class III stress response-related ATPase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12354604, 15529410, 16525504; Product type f: factor"
radA,2889,2765,2738,2525,2667,2869,2481,3015,2484,3439,106096,107472,+,chr,BSU00870,DNA repair protein RadA,Sms; stabilizes the strand-invasion intermediate during the DNA repair; involved in recombination of donor DNA and plays an important role in DNA damage repair after exposure to mutagenic agents
yacK,1731,2800,1565,2506,1571,2851,1424,3000,2283,3616,107476,108558,+,chr,BSU00880,DNA integrity scanning protein DisA,non-specific DNA-binding; scans chromosomes during sporulation for DNA-damage; delays initiation of sporulation; participates in a checkpoint signaling cascade for cell-cycle progression and DNA repair
yacL,2740,3763,2328,3631,2306,3827,2133,4001,3185,4979,108674,109774,+,chr,BSU00890,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pm:  membrane component"
ispD,1569,1417,1426,1210,1372,1452,1231,1869,1386,1936,109789,110487,+,chr,BSU00900,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,4-diphosphocytidyl-2C-methyl-D-erythritol synthase; MEP cytidylyltransferase; MCT; catalyzes the formation of 4-diphosphocytidyl-2-C-methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4-phosphate; involved in isoprenoid and isopentenyl-PP biosynthesis; forms homodimers
ispF,650,758,439,724,493,843,379,778,669,1031,110480,110956,+,chr,BSU00910,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","catalyzes the conversion of 4-diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate into 2-C-methyl-D-erythritol 2,4-cyclodiphosphate"
gltX,11670,21072,9410,17648,8486,18980,8668,19422,15905,18802,111047,112498,+,chr,BSU00920,glutamyl-tRNA synthetase,Charges one glutamine molecule and pairs it to its corresponding RNA trinucleotide during protein translation
cysE,1045,1434,831,1341,770,1433,921,1823,1256,1810,112800,113453,+,chr,BSU00930,serine acetyltransferase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10939241, 17056751, 10737181, 7510287; Product type e: enzyme"
cysS,2698,3051,2208,2786,2120,3168,2293,3484,2773,3852,113450,114850,+,chr,BSU00940,cysteinyl-tRNA synthetase,catalyzes a two-step reaction; charges a cysteine by linking its carboxyl group to the alpha-phosphate of ATP then transfers the aminoacyl-adenylate to its tRNA
mrnC,724,1417,619,1380,632,1513,677,2162,1362,1928,114854,115285,+,chr,BSU00950,ribonuclease for 23S RNA maturation,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16014871; Product type e: enzyme
rlmB,1415,1764,1288,1724,1264,1728,1310,2216,1670,2334,115269,116018,+,chr,BSU00960,23S rRNA methyltransferase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 11698387, 16014871; Product type e: enzyme"
yacP,738,1278,647,1097,601,1245,606,1534,1006,1663,116025,116537,+,chr,BSU00970,ribonuclease with PIN and NYN domains,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 17114934; Product type pe :  enzyme"
sigH,3694,7098,2661,6064,2476,6713,2451,6746,5370,6594,116600,117256,+,chr,BSU00980,RNA polymerase factor sigma-70,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
rpmG,1340,2230,976,1825,990,2323,935,2032,1818,2131,117349,117498,+,chr,BSU00990,50S ribosomal protein L33,"in Escherichia coli BM108, a mutation that results in lack of L33 synthesis had no effect on ribosome synthesis or function; there are paralogous genes in several bacterial genomes, and a CXXC motif for zinc binding and an upstream regulation region of the paralog lacking this motif that are regulated by zinc similar to other ribosomal proteins like L31; the proteins in this group have the CXXC motif"
secE,710,1144,555,856,541,1300,449,1316,1068,1323,117532,117711,+,chr,BSU01000,preprotein translocase subunit SecE,"forms a complex with SecY and SecG; SecYEG forms a protein-conducting channel to which secA binds and translocates targeted polypeptides across the cytoplasmic membrane, a process driven by ATP and a proton-motive force"
nusG,3084,6707,1987,4722,2286,6236,1891,5916,5418,6437,117890,118423,+,chr,BSU01010,transcription antitermination protein NusG,Modulates Rho-dependent transcription termination
rplK,62963,73816,40329,52172,46657,71635,42374,63521,65826,67954,118591,119016,+,chr,BSU01020,50S ribosomal protein L11,binds directly to 23S ribosomal RNA
rplA,50293,72255,29269,45820,35890,65327,31028,55398,59463,62452,119111,119809,+,chr,BSU01030,50S ribosomal protein L1,"in Escherichia coli and Methanococcus, this protein autoregulates expression; the binding site in the mRNA mimics the binding site in the 23S rRNA"
rplJ,69199,115751,39753,72912,49542,103428,42436,80742,88996,95433,120061,120561,+,chr,BSU01040,50S ribosomal protein L10,binds the two ribosomal protein L7/L12 dimers and anchors them to the large ribosomal subunit
rplL,47930,60195,28641,39015,34144,57940,30046,51416,53584,55501,120607,120978,+,chr,BSU01050,50S ribosomal protein L7/L12,"present in two forms; L12 is normal, while L7 is aminoacylated at the N-terminal serine; the only multicopy ribosomal protein; 4:1 ratio of L7/L12 per ribosome; two L12 dimers bind L10; critically important for translation efficiency and fidelity; stimulates GTPase activity of translation factors"
ybxB,1955,2599,958,1620,1295,2269,1120,1836,1608,2307,121068,121673,+,chr,BSU01060,ribosomal RNA methyltransferase,Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 17010380; Product type e: enzyme
rpoB,79889,86922,60327,67692,63112,83138,60369,82444,69130,88987,121919,125500,+,chr,BSU01070,DNA-directed RNA polymerase subunit beta,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates; beta subunit is part of the catalytic core which binds with a sigma factor to produce the holoenzyme
rpoC,106997,105364,82428,83096,86907,101387,82464,101347,85871,105057,125562,129161,+,chr,BSU01080,DNA-directed RNA polymerase subunit beta',DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Subunit beta' binds to sigma factor allowing it to bind to the -10 region of the promoter
ybxF,35828,58094,19795,37734,22918,51169,19902,50852,45996,58259,129340,129588,+,chr,BSU01090,ribosomal protein L7Ae-like,in Bacillus subtilis this non-essential protein associates with the ribosome
rpsL,56527,47506,36843,32199,43826,44404,38178,42581,40359,49894,129702,130118,+,chr,BSU01100,30S ribosomal protein S12,"interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone; located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side; mutations in the S12 gene confer streptomycin resistance"
rpsG,61412,81175,38043,53564,43202,72077,39127,78048,68229,84426,130160,130630,+,chr,BSU01110,30S ribosomal protein S7,binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit
fusA,309113,332624,188919,227066,215834,305232,196380,275466,267481,317806,130684,132762,+,chr,BSU01120,elongation factor G,EF-G; promotes GTP-dependent translocation of the ribosome during translation; many organisms have multiple copies of this gene
